House Vote #1 2020-01-07T18:55:00 - Call of the House
person,state,district,vote,name,party
412529,FL,21,Present,"Rep. Lois Frankel [D, 2017-2022]",Democrat
412531,GA,9,Present,"Rep. Doug Collins [R, 2013-2020]",Republican
412532,HI,2,Not Voting,"Rep. Tulsi Gabbard [D, 2013-2020]",Democrat
412534,IL,10,Present,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat
412536,IL,13,Present,"Rep. Rodney Davis [R, 2013-2022]",Republican
412537,IL,17,Present,"Rep. Cheri Bustos [D, 2013-2022]",Democrat
412538,IN,2,Present,"Rep. Jackie Walorski [R, 2013-2022]",Republican
412539,IN,5,Present,"Rep. Susan Brooks [R, 2013-2020]",Republican
412541,KY,6,Present,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican
412543,MA,4,Present,"Rep. Joseph P. Kennedy [D, 2013-2020]",Democrat
412546,MI,5,Present,"Rep. Daniel Kildee [D, 2013-2022]",Democrat
412548,MO,2,Present,"Rep. Ann Wagner [R, 2013-2024]",Republican
412550,NC,8,Present,"Rep. Richard Hudson [R, 2013-2022]",Republican
412552,NC,11,Present,"Rep. Mark Meadows [R, 2013-2020]",Republican
412553,NC,2,Present,"Rep. George Holding [R, 2017-2020]",Republican
412557,NH,2,Present,"Rep. Ann Kuster [D, 2013-2024]",Democrat
412559,NV,4,Present,"Rep. Steven Horsford [D, 2019-2024]",Democrat
412560,NY,6,Not Voting,"Rep. Grace Meng [D, 2013-2024]",Democrat
412561,NY,8,Present,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat
412562,NY,18,Present,"Rep. Sean Maloney [D, 2013-2022]",Democrat
412564,OH,2,Present,"Rep. Brad Wenstrup [R, 2013-2024]",Republican
412565,OH,3,Not Voting,"Rep. Joyce Beatty [D, 2013-2024]",Democrat
412566,OH,14,Present,"Rep. David Joyce [R, 2013-2024]",Republican
412568,OK,2,Present,"Rep. Markwayne Mullin [R, 2013-2022]",Republican
412569,PA,10,Present,"Rep. Scott Perry [R, 2019-2024]",Republican
412571,PA,8,Present,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat
412572,SC,7,Present,"Rep. Tom Rice [R, 2013-2022]",Republican
412574,TX,14,Present,"Rep. Randy Weber [R, 2013-2024]",Republican
412576,TX,20,Not Voting,"Rep. Joaquin Castro [D, 2013-2024]",Democrat
412578,TX,25,Present,"Rep. Roger Williams [R, 2013-2024]",Republican
412579,TX,33,Present,"Rep. Marc Veasey [D, 2013-2024]",Democrat
412580,TX,34,Present,"Rep. Filemon Vela [D, 2013-2022]",Democrat
412581,UT,2,Present,"Rep. Chris Stewart [R, 2013-2023]",Republican
412583,WA,6,Present,"Rep. Derek Kilmer [D, 2013-2024]",Democrat
412584,WA,10,Present,"Rep. Denny Heck [D, 2013-2020]",Democrat
412585,WI,2,Present,"Rep. Mark Pocan [D, 2013-2024]",Democrat
412595,IL,2,Not Voting,"Rep. Robin Kelly [D, 2013-2024]",Democrat
412596,MO,8,Present,"Rep. Jason Smith [R, 2013-2024]",Republican
412600,MA,5,Present,"Rep. Katherine Clark [D, 2013-2024]",Democrat
412601,AL,1,Not Voting,"Rep. Bradley Byrne [R, 2014-2020]",Republican
412606,NJ,1,Present,"Rep. Donald Norcross [D, 2014-2024]",Democrat
412607,NC,12,Present,"Rep. Alma Adams [D, 2014-2024]",Democrat
412608,AL,6,Present,"Rep. Gary Palmer [R, 2015-2024]",Republican
412609,AR,2,Present,"Rep. French Hill [R, 2015-2024]",Republican
412610,AR,4,Present,"Rep. Bruce Westerman [R, 2015-2024]",Republican
412612,AZ,7,Not Voting,"Rep. Ruben Gallego [D, 2015-2022]",Democrat
412613,CA,11,Present,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat
412615,CA,31,Present,"Rep. Pete Aguilar [D, 2015-2022]",Democrat
412616,CA,33,Present,"Rep. Ted Lieu [D, 2015-2022]",Democrat
412617,CA,35,Present,"Rep. Norma Torres [D, 2015-2024]",Democrat
412619,CO,4,Present,"Rep. Ken Buck [R, 2015-2024]",Republican
412622,GA,1,Present,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican
412623,GA,10,Present,"Rep. Jody Hice [R, 2015-2022]",Republican
412624,GA,11,Not Voting,"Rep. Barry Loudermilk [R, 2015-2024]",Republican
412625,GA,12,Present,"Rep. Rick Allen [R, 2015-2024]",Republican
412629,IL,12,Present,"Rep. Mike Bost [R, 2015-2024]",Republican
412630,LA,5,Present,"Rep. Ralph Abraham [R, 2015-2020]",Republican
412631,LA,6,Present,"Rep. Garret Graves [R, 2015-2024]",Republican
412632,MA,6,Present,"Rep. Seth Moulton [D, 2015-2024]",Democrat
412634,MI,4,Present,"Rep. John Moolenaar [R, 2015-2022]",Republican
412637,MI,12,Present,"Rep. Debbie Dingell [D, 2015-2022]",Democrat
412638,MI,14,Present,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat
412639,MN,6,Present,"Rep. Tom Emmer [R, 2015-2024]",Republican
412641,NC,7,Present,"Rep. David Rouzer [R, 2015-2024]",Republican
412644,NJ,12,Present,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat
412646,NY,1,Present,"Rep. Lee Zeldin [R, 2015-2022]",Republican
412647,NY,4,Present,"Rep. Kathleen Rice [D, 2015-2022]",Democrat
412648,NY,21,Present,"Rep. Elise Stefanik [R, 2015-2024]",Republican
412649,NY,24,Present,"Rep. John Katko [R, 2015-2022]",Republican
412652,PA,2,Present,"Rep. Brendan Boyle [D, 2019-2024]",Democrat
412653,TX,4,Not Voting,"Rep. John Ratcliffe [R, 2015-2020]",Republican
412654,TX,23,Present,"Rep. Will Hurd [R, 2015-2020]",Republican
412655,TX,36,Present,"Rep. Brian Babin [R, 2015-2024]",Republican
412657,VA,8,Present,"Rep. Donald Beyer [D, 2015-2024]",Democrat
412660,WA,4,Present,"Rep. Dan Newhouse [R, 2015-2024]",Republican
412661,WI,6,Present,"Rep. Glenn Grothman [R, 2015-2024]",Republican
412662,WV,2,Present,"Rep. Alexander Mooney [R, 2015-2024]",Republican
412670,NC,6,Not Voting,"Rep. Mark Walker [R, 2015-2020]",Republican
412673,MS,1,Present,"Rep. Trent Kelly [R, 2015-2024]",Republican
412674,IL,18,Present,"Rep. Darin LaHood [R, 2015-2022]",Republican
412675,OH,8,Present,"Rep. Warren Davidson [R, 2016-2024]",Republican
412676,KY,1,Present,"Rep. James Comer [R, 2016-2024]",Republican
412677,PA,3,Present,"Rep. Dwight Evans [D, 2019-2024]",Democrat
412682,AZ,1,Present,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat
412683,AZ,5,Present,"Rep. Andy Biggs [R, 2017-2024]",Republican
412684,CA,17,Present,"Rep. Ro Khanna [D, 2017-2024]",Democrat
412685,CA,20,Present,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat
412686,CA,24,Present,"Rep. Salud Carbajal [D, 2017-2024]",Democrat
412687,CA,44,Present,"Rep. Nanette Barragán [D, 2017-2024]",Democrat
412688,CA,46,Not Voting,"Rep. Luis Correa [D, 2017-2024]",Democrat
412689,DE,0,Present,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat
412690,FL,1,Not Voting,"Rep. Matt Gaetz [R, 2017-2024]",Republican
412691,FL,2,Present,"Rep. Neal Dunn [R, 2017-2024]",Republican
412692,FL,4,Present,"Rep. John Rutherford [R, 2017-2022]",Republican
412693,FL,5,Present,"Rep. Al Lawson [D, 2017-2022]",Democrat
412694,FL,7,Present,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat
412695,FL,9,Present,"Rep. Darren Soto [D, 2017-2024]",Democrat
412696,FL,10,Present,"Rep. Val Demings [D, 2017-2022]",Democrat
412697,FL,13,Present,"Rep. Charlie Crist [D, 2017-2022]",Democrat
412698,FL,18,Present,"Rep. Brian Mast [R, 2017-2022]",Republican
412699,FL,19,Not Voting,"Rep. Francis Rooney [R, 2017-2020]",Republican
412700,GA,3,Present,"Rep. Drew Ferguson [R, 2017-2024]",Republican
412701,IL,8,Present,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat
412702,IN,3,Present,"Rep. Jim Banks [R, 2017-2024]",Republican
412703,IN,9,Present,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican
412704,KS,1,Present,"Rep. Roger Marshall [R, 2017-2020]",Republican
412705,LA,3,Present,"Rep. Clay Higgins [R, 2017-2024]",Republican
412706,LA,4,Not Voting,"Rep. Mike Johnson [R, 2017-2024]",Republican
412707,MD,4,Present,"Rep. Anthony Brown [D, 2017-2022]",Democrat
412708,MD,8,Present,"Rep. Jamie Raskin [D, 2017-2024]",Democrat
412709,MI,1,Present,"Rep. Jack Bergman [R, 2017-2024]",Republican
412710,MI,10,Present,"Rep. Paul Mitchell [I, 2017-2020]",Republican
412712,NC,13,Present,"Rep. Ted Budd [R, 2017-2022]",Republican
412713,NE,2,Present,"Rep. Don Bacon [R, 2017-2024]",Republican
412714,NJ,5,Not Voting,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat
412717,NY,3,Present,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat
412718,NY,13,Present,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat
412721,PA,1,Present,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican
412722,PA,11,Present,"Rep. Lloyd Smucker [R, 2019-2024]",Republican
412724,TN,8,Present,"Rep. David Kustoff [R, 2017-2024]",Republican
412725,TX,15,Not Voting,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat
412726,TX,19,Present,"Rep. Jodey Arrington [R, 2017-2024]",Republican
412728,VA,4,Not Voting,"Rep. Donald McEachin [D, 2017-2022]",Democrat
412730,WA,7,Present,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat
412731,WI,8,Present,"Rep. Mike Gallagher [R, 2017-2024]",Republican
412732,WY,0,Present,"Rep. Liz Cheney [R, 2017-2022]",Republican
412735,KS,4,Present,"Rep. Ron Estes [R, 2017-2024]",Republican
412736,MT,0,Present,"Rep. Greg Gianforte [R, 2017-2020]",Republican
412738,SC,5,Present,"Rep. Ralph Norman [R, 2017-2024]",Republican
412739,CA,34,Present,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat
412740,UT,3,Present,"Rep. John Curtis [R, 2017-2024]",Republican
412744,PA,17,Present,"Rep. Conor Lamb [D, 2019-2022]",Democrat
412745,AZ,8,Present,"Rep. Debbie Lesko [R, 2018-2024]",Republican
412746,TX,27,Present,"Rep. Michael Cloud [R, 2018-2024]",Republican
412747,OH,12,Present,"Rep. Troy Balderson [R, 2018-2024]",Republican
412748,OK,1,Present,"Rep. Kevin Hern [R, 2018-2024]",Republican
412749,NY,25,Present,"Rep. Joseph Morelle [D, 2018-2024]",Democrat
412750,PA,5,Present,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat
412751,PA,7,Present,"Rep. Susan Wild [D, 2019-2024]",Democrat
412753,AZ,9,Present,"Rep. Greg Stanton [D, 2019-2022]",Democrat
412754,CA,10,Present,"Rep. Josh Harder [D, 2019-2022]",Democrat
412755,CA,21,Present,"Rep. TJ Cox [D, 2019-2020]",Democrat
412757,CA,39,Present,"Rep. Gilbert Cisneros [D, 2019-2020]",Democrat
412758,CA,45,Present,"Rep. Katie Porter [D, 2019-2022]",Democrat
