House Vote #15 2023-01-06T13:46:00 - Election of the Speaker
person,state,district,vote,name,party
456820,IL,15,McCarthy,Rep. Mary Miller [R],Republican
456821,IN,1,Jeffries,Rep. Frank Mrvan [D],Democrat
456822,IN,5,McCarthy,Rep. Victoria Spartz [R],Republican
456823,KS,1,McCarthy,Rep. Tracey Mann [R],Republican
456824,KS,2,McCarthy,Rep. Jacob “Jake” LaTurner [R],Republican
456825,MA,4,Jeffries,Rep. Jake Auchincloss [D],Democrat
456827,MI,9,McCarthy,Rep. Lisa McClain [R],Republican
456828,MN,7,McCarthy,Rep. Michelle Fischbach [R],Republican
456829,MO,1,Jeffries,Rep. Cori Bush [D],Democrat
456830,MT,2,Hern,Rep. Matthew Rosendale [R],Republican
456831,NC,2,Jeffries,Rep. Deborah Ross [D],Democrat
456832,NC,6,Jeffries,Rep. Kathy Manning [D],Democrat
456835,NM,3,Jeffries,Rep. Teresa Leger Fernandez [D],Democrat
456836,NY,2,McCarthy,Rep. Andrew Garbarino [R],Republican
456837,NY,11,McCarthy,Rep. Nicole Malliotakis [R],Republican
456838,NY,15,Jeffries,Rep. Ritchie Torres [D],Democrat
456839,NY,16,Jeffries,Rep. Jamaal Bowman [D],Democrat
456841,OK,5,McCarthy,Rep. Stephanie Bice [R],Republican
456842,OR,2,McCarthy,Rep. Cliff Bentz [R],Republican
456843,SC,1,McCarthy,Rep. Nancy Mace [R],Republican
456844,TN,1,McCarthy,Rep. Diana Harshbarger [R],Republican
456845,TX,4,McCarthy,Rep. Patrick “Pat” Fallon [R],Republican
456846,TX,11,McCarthy,Rep. August Pfluger [R],Republican
456847,TX,13,McCarthy,Rep. Ronny Jackson [R],Republican
456848,TX,22,McCarthy,Rep. Troy Nehls [R],Republican
456849,TX,23,McCarthy,Rep. Ernest “Tony” Gonzales [R],Republican
456850,TX,24,McCarthy,Rep. Beth Van Duyne [R],Republican
456851,UT,1,McCarthy,Rep. Blake Moore [R],Republican
456852,UT,4,McCarthy,Rep. Clarence “Burgess” Owens [R],Republican
456853,VA,5,Jordan,Rep. Robert “Bob” Good [R],Republican
456854,WA,10,Jeffries,Rep. Marilyn Strickland [D],Democrat
456855,WI,5,McCarthy,Rep. Scott Fitzgerald [R],Republican
456859,LA,5,McCarthy,Rep. Julia Letlow [R],Republican
456860,LA,2,Jeffries,Rep. Troy Carter [D],Democrat
456861,NM,1,Jeffries,Rep. Melanie Stansbury [D],Democrat
456862,TX,6,McCarthy,Rep. Jake Ellzey [R],Republican
456863,OH,11,Jeffries,Rep. Shontel Brown [D],Democrat
456864,OH,15,McCarthy,Rep. Mike Carey [R],Republican
456865,FL,20,Jeffries,Rep. Sheila Cherfilus-McCormick [D],Democrat
456868,NE,1,McCarthy,Rep. Mike Flood [R],Republican
456869,MN,1,McCarthy,Rep. Brad Finstad [R],Republican
456870,AK,0,Jeffries,Rep. Mary Peltola [D],Democrat
456871,NY,18,Jeffries,Rep. Patrick Ryan [D],Democrat
456873,IN,2,McCarthy,Rep. Rudy Yakym [R],Republican
456878,AL,5,McCarthy,Rep. Dale Strong [R],Republican
456879,AZ,2,Hern,Rep. Eli Crane [R],Republican
456880,AZ,6,McCarthy,Rep. Juan Ciscomani [R],Republican
456881,CA,3,McCarthy,Rep. Kevin Kiley [R],Republican
456882,CA,13,McCarthy,Rep. John Duarte [R],Republican
456883,CA,15,Jeffries,Rep. Kevin Mullin [D],Democrat
456884,CA,37,Jeffries,Rep. Sydney Kamlager-Dove [D],Democrat
456885,CA,42,Jeffries,Rep. Robert Julio Garcia [D],Democrat
456886,CO,7,Jeffries,Rep. Brittany Pettersen [D],Democrat
456887,CO,8,Jeffries,Rep. Yadira Caraveo [D],Democrat
456888,FL,4,McCarthy,Rep. Aaron Bean [R],Republican
456889,FL,7,McCarthy,Rep. Cory Mills [R],Republican
456890,FL,10,Jeffries,Rep. Maxwell Frost [D],Democrat
456891,FL,13,McCarthy,Rep. Anna Paulina Luna [R],Republican
456892,FL,15,McCarthy,Rep. Laurel Lee [R],Republican
456893,FL,23,Jeffries,Rep. Jared Moskowitz [D],Democrat
456894,GA,6,McCarthy,Rep. Rich McCormick [R],Republican
456895,GA,10,McCarthy,Rep. Mike Collins [R],Republican
456897,HI,2,Jeffries,Rep. Jill Tokuda [D],Democrat
456898,IA,3,McCarthy,Rep. Zachary (Zach) Nunn [R],Republican
456899,IL,1,Jeffries,Rep. Jonathan Jackson [D],Democrat
456900,IL,3,Jeffries,Rep. Delia Ramirez [D],Democrat
456901,IL,13,Jeffries,Rep. Nicole (Nikki) Budzinski [D],Democrat
456902,IL,17,Jeffries,Rep. Eric Sorensen [D],Democrat
456903,IN,9,McCarthy,Rep. Erin Houchin [R],Republican
456904,KY,3,Jeffries,Rep. Morgan McGarvey [D],Democrat
456905,MD,4,Jeffries,Rep. Glenn Ivey [D],Democrat
456906,MI,3,Jeffries,Rep. Hillary Scholten [D],Democrat
456907,MI,10,McCarthy,Rep. John James [R],Republican
456908,MI,13,Jeffries,Rep. Shri Thanedar [D],Democrat
456909,MO,4,McCarthy,Rep. Mark Alford [R],Republican
456910,MO,7,McCarthy,Rep. Eric Burlison [R],Republican
456911,MS,4,McCarthy,Rep. Mike Ezell [R],Republican
456912,NC,1,Jeffries,Rep. Donald Davis [D],Democrat
456913,NC,4,Jeffries,Rep. Valerie Foushee [D],Democrat
456914,NC,11,McCarthy,Rep. Charles (Chuck) Edwards [R],Republican
