House Vote #1 2023-01-03T12:28:00 - Call By States
person,state,district,vote,name,party
456847,TX,13,Present,Rep. Ronny Jackson [R],Republican
456848,TX,22,Present,Rep. Troy Nehls [R],Republican
456849,TX,23,Present,Rep. Ernest “Tony” Gonzales [R],Republican
456850,TX,24,Present,Rep. Beth Van Duyne [R],Republican
456851,UT,1,Present,Rep. Blake Moore [R],Republican
456852,UT,4,Present,Rep. Clarence “Burgess” Owens [R],Republican
456853,VA,5,Present,Rep. Robert “Bob” Good [R],Republican
456854,WA,10,Present,Rep. Marilyn Strickland [D],Democrat
456855,WI,5,Present,Rep. Scott Fitzgerald [R],Republican
456859,LA,5,Present,Rep. Julia Letlow [R],Republican
456860,LA,2,Present,Rep. Troy Carter [D],Democrat
456861,NM,1,Present,Rep. Melanie Stansbury [D],Democrat
456862,TX,6,Present,Rep. Jake Ellzey [R],Republican
456863,OH,11,Present,Rep. Shontel Brown [D],Democrat
456864,OH,15,Present,Rep. Mike Carey [R],Republican
456865,FL,20,Present,Rep. Sheila Cherfilus-McCormick [D],Democrat
456868,NE,1,Present,Rep. Mike Flood [R],Republican
456869,MN,1,Present,Rep. Brad Finstad [R],Republican
456870,AK,0,Present,Rep. Mary Peltola [D],Democrat
456871,NY,18,Present,Rep. Patrick Ryan [D],Democrat
456873,IN,2,Present,Rep. Rudy Yakym [R],Republican
456878,AL,5,Present,Rep. Dale Strong [R],Republican
456879,AZ,2,Present,Rep. Eli Crane [R],Republican
456880,AZ,6,Present,Rep. Juan Ciscomani [R],Republican
456881,CA,3,Present,Rep. Kevin Kiley [R],Republican
456882,CA,13,Present,Rep. John Duarte [R],Republican
456883,CA,15,Present,Rep. Kevin Mullin [D],Democrat
456884,CA,37,Present,Rep. Sydney Kamlager-Dove [D],Democrat
456885,CA,42,Present,Rep. Robert Julio Garcia [D],Democrat
456886,CO,7,Present,Rep. Brittany Pettersen [D],Democrat
456887,CO,8,Present,Rep. Yadira Caraveo [D],Democrat
456888,FL,4,Present,Rep. Aaron Bean [R],Republican
456889,FL,7,Present,Rep. Cory Mills [R],Republican
456890,FL,10,Present,Rep. Maxwell Frost [D],Democrat
456891,FL,13,Present,Rep. Anna Paulina Luna [R],Republican
456892,FL,15,Present,Rep. Laurel Lee [R],Republican
456893,FL,23,Present,Rep. Jared Moskowitz [D],Democrat
456894,GA,6,Present,Rep. Rich McCormick [R],Republican
456895,GA,10,Present,Rep. Mike Collins [R],Republican
456897,HI,2,Present,Rep. Jill Tokuda [D],Democrat
456898,IA,3,Present,Rep. Zachary (Zach) Nunn [R],Republican
