House Vote #601 2019-10-30T17:54:00 - On Motion to Recommit with Instructions: H.R. 1373: Grand Canyon Centennial Protection Act
person,state,district,vote,name,party
412534,IL,10,No,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat
412536,IL,13,Aye,"Rep. Rodney Davis [R, 2013-2022]",Republican
412537,IL,17,No,"Rep. Cheri Bustos [D, 2013-2022]",Democrat
412538,IN,2,Aye,"Rep. Jackie Walorski [R, 2013-2022]",Republican
412539,IN,5,Aye,"Rep. Susan Brooks [R, 2013-2020]",Republican
412541,KY,6,Aye,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican
412543,MA,4,No,"Rep. Joseph P. Kennedy [D, 2013-2020]",Democrat
412546,MI,5,No,"Rep. Daniel Kildee [D, 2013-2022]",Democrat
412548,MO,2,Aye,"Rep. Ann Wagner [R, 2013-2024]",Republican
412550,NC,8,Not Voting,"Rep. Richard Hudson [R, 2013-2022]",Republican
412552,NC,11,Aye,"Rep. Mark Meadows [R, 2013-2020]",Republican
412553,NC,2,Aye,"Rep. George Holding [R, 2017-2020]",Republican
412557,NH,2,No,"Rep. Ann Kuster [D, 2013-2024]",Democrat
412559,NV,4,No,"Rep. Steven Horsford [D, 2019-2024]",Democrat
412560,NY,6,No,"Rep. Grace Meng [D, 2013-2024]",Democrat
412561,NY,8,No,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat
412562,NY,18,No,"Rep. Sean Maloney [D, 2013-2022]",Democrat
412564,OH,2,Aye,"Rep. Brad Wenstrup [R, 2013-2024]",Republican
412565,OH,3,Not Voting,"Rep. Joyce Beatty [D, 2013-2024]",Democrat
412566,OH,14,Aye,"Rep. David Joyce [R, 2013-2024]",Republican
412568,OK,2,Aye,"Rep. Markwayne Mullin [R, 2013-2022]",Republican
412569,PA,10,Aye,"Rep. Scott Perry [R, 2019-2024]",Republican
412571,PA,8,No,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat
412572,SC,7,Aye,"Rep. Tom Rice [R, 2013-2022]",Republican
412574,TX,14,Aye,"Rep. Randy Weber [R, 2013-2024]",Republican
412576,TX,20,No,"Rep. Joaquin Castro [D, 2013-2024]",Democrat
412578,TX,25,Aye,"Rep. Roger Williams [R, 2013-2024]",Republican
412579,TX,33,No,"Rep. Marc Veasey [D, 2013-2024]",Democrat
412580,TX,34,No,"Rep. Filemon Vela [D, 2013-2022]",Democrat
412581,UT,2,Aye,"Rep. Chris Stewart [R, 2013-2023]",Republican
412583,WA,6,No,"Rep. Derek Kilmer [D, 2013-2024]",Democrat
412584,WA,10,No,"Rep. Denny Heck [D, 2013-2020]",Democrat
412585,WI,2,No,"Rep. Mark Pocan [D, 2013-2024]",Democrat
412595,IL,2,No,"Rep. Robin Kelly [D, 2013-2024]",Democrat
412596,MO,8,Aye,"Rep. Jason Smith [R, 2013-2024]",Republican
412600,MA,5,No,"Rep. Katherine Clark [D, 2013-2024]",Democrat
412601,AL,1,Aye,"Rep. Bradley Byrne [R, 2014-2020]",Republican
412606,NJ,1,No,"Rep. Donald Norcross [D, 2014-2024]",Democrat
