House Vote #273 2019-06-12T23:40:00 - H.Amdt. 289 (Foster) to H.R. 2740: To increase the Biomedical Advanced Research and Development Authority account by $1,000,000 to support increased R&D for biosecurity.
person,state,district,vote,name,party
412382,CA,3,Aye,"Rep. John Garamendi [D, 2013-2022]",Democrat
412385,FL,22,Aye,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat
412388,GA,14,No,"Rep. Tom Graves [R, 2013-2020]",Republican
412393,NY,23,Aye,"Rep. Tom Reed [R, 2013-2022]",Republican
412394,AL,2,Aye,"Rep. Martha Roby [R, 2011-2020]",Republican
412395,AL,5,No,"Rep. Mo Brooks [R, 2011-2022]",Republican
412396,AL,7,Aye,"Rep. Terri Sewell [D, 2011-2024]",Democrat
412397,AZ,4,No,"Rep. Paul Gosar [R, 2013-2022]",Republican
412399,AZ,6,Aye,"Rep. David Schweikert [R, 2013-2022]",Republican
412400,AR,1,Aye,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican
412402,AR,3,Aye,"Rep. Steve Womack [R, 2011-2024]",Republican
412404,CA,37,Aye,"Rep. Karen Bass [D, 2013-2022]",Democrat
412405,CO,3,Aye,"Rep. Scott Tipton [R, 2011-2020]",Republican
412410,FL,11,No,"Rep. Daniel Webster [R, 2017-2024]",Republican
412412,FL,24,Aye,"Rep. Frederica Wilson [D, 2013-2024]",Democrat
412416,GA,7,Aye,"Rep. Rob Woodall [R, 2011-2020]",Republican
412417,GA,8,No,"Rep. Austin Scott [R, 2011-2024]",Republican
412421,IL,16,Aye,"Rep. Adam Kinzinger [R, 2013-2022]",Republican
412427,IN,8,No,"Rep. Larry Bucshon [R, 2011-2024]",Republican
412432,LA,2,Aye,"Rep. Cedric Richmond [D, 2011-2021]",Democrat
412434,MD,1,Aye,"Rep. Andy Harris [R, 2011-2024]",Republican
412435,MA,9,Aye,"Rep. William R. Keating [D, 2013-2024]",Democrat
412437,MI,2,Aye,"Rep. Bill Huizenga [R, 2011-2022]",Republican
412438,MI,3,No,"Rep. Justin Amash [L, 2011-2020]",Republican
412443,MS,4,No,"Rep. Steven Palazzo [R, 2011-2022]",Republican
412444,MO,4,Aye,"Rep. Vicky Hartzler [R, 2011-2022]",Republican
412445,MO,7,Aye,"Rep. Billy Long [R, 2011-2022]",Republican
412460,OH,6,Aye,"Rep. Bill Johnson [R, 2011-2024]",Republican
412461,OH,15,Aye,"Rep. Steve Stivers [R, 2011-2021]",Republican
412463,OH,7,No,"Rep. Bob Gibbs [R, 2013-2022]",Republican
412465,PA,16,Aye,"Rep. Mike Kelly [R, 2019-2024]",Republican
412470,RI,1,Aye,"Rep. David Cicilline [D, 2011-2023]",Democrat
412472,SC,3,No,"Rep. Jeff Duncan [R, 2011-2024]",Republican
412476,TN,3,Aye,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican
412477,TN,4,Aye,"Rep. Scott DesJarlais [R, 2011-2024]",Republican
412480,TX,17,Aye,"Rep. Bill Flores [R, 2011-2020]",Republican
412485,VA,9,Aye,"Rep. Morgan Griffith [R, 2011-2024]",Republican
412486,WA,3,Not Voting,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican
412487,WV,1,Aye,"Rep. David McKinley [R, 2011-2022]",Republican
412488,WI,7,No,"Rep. Sean Duffy [R, 2011-2019]",Republican
412500,NV,2,Aye,"Rep. Mark Amodei [R, 2011-2024]",Republican
412501,OR,1,Aye,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat
412503,KY,4,Aye,"Rep. Thomas Massie [R, 2012-2024]",Republican
412505,WA,1,Aye,"Rep. Suzan DelBene [D, 2012-2024]",Democrat
412506,NJ,10,Aye,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat
412510,CA,1,Aye,"Rep. Doug LaMalfa [R, 2013-2024]",Republican
412511,CA,2,Aye,"Rep. Jared Huffman [D, 2013-2024]",Democrat
412512,CA,7,Aye,"Rep. Ami Bera [D, 2013-2022]",Democrat
412513,CA,8,Aye,"Rep. Paul Cook [R, 2013-2020]",Republican
412514,CA,15,Not Voting,"Rep. Eric Swalwell [D, 2013-2022]",Democrat
412516,CA,26,Aye,"Rep. Julia Brownley [D, 2013-2024]",Democrat
412517,CA,29,Aye,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat
412519,CA,36,Aye,"Rep. Raul Ruiz [D, 2013-2022]",Democrat
412520,CA,41,Aye,"Rep. Mark Takano [D, 2013-2022]",Democrat
